device: NVIDIA H200
target memory GB: 8.0
matmul_size: 8192
step=0, value=0.006285, allocated=8.41GB, reserved=8.66GB
step=10, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=20, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=30, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=40, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=50, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=60, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=70, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=80, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=90, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=100, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=110, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=120, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=130, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=140, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=150, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=160, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=170, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=180, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=190, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=200, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=210, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=220, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=230, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=240, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=250, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=260, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=270, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=280, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=290, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=300, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=310, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=320, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=330, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=340, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=350, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=360, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=370, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=380, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=390, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=400, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=410, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=420, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=430, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=440, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=450, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=460, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=470, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=480, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=490, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=500, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=510, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=520, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=530, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=540, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=550, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=560, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=570, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=580, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=590, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=600, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=610, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=620, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=630, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=640, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=650, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=660, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=670, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=680, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=690, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=700, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=710, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=720, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=730, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=740, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=750, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=760, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=770, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=780, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=790, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=800, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=810, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=820, value=0.006285, allocated=8.41GB, reserved=8.91GB
