device: NVIDIA H200
target memory GB: 16.0
matmul_size: 16384
inner_iters: 20
step=0, allocated=17.53GB, reserved=17.53GB
step=1, allocated=17.53GB, reserved=17.53GB
step=2, allocated=17.53GB, reserved=17.53GB
step=3, allocated=17.53GB, reserved=17.53GB
step=4, allocated=17.53GB, reserved=17.53GB
step=5, allocated=17.53GB, reserved=17.53GB
step=6, allocated=17.53GB, reserved=17.53GB
step=7, allocated=17.53GB, reserved=17.53GB
step=8, allocated=17.53GB, reserved=17.53GB
step=9, allocated=17.53GB, reserved=17.53GB
step=10, allocated=17.53GB, reserved=17.53GB
step=11, allocated=17.53GB, reserved=17.53GB
step=12, allocated=17.53GB, reserved=17.53GB
step=13, allocated=17.53GB, reserved=17.53GB
step=14, allocated=17.53GB, reserved=17.53GB
step=15, allocated=17.53GB, reserved=17.53GB
step=16, allocated=17.53GB, reserved=17.53GB
step=17, allocated=17.53GB, reserved=17.53GB
step=18, allocated=17.53GB, reserved=17.53GB
step=19, allocated=17.53GB, reserved=17.53GB
step=20, allocated=17.53GB, reserved=17.53GB
step=21, allocated=17.53GB, reserved=17.53GB
step=22, allocated=17.53GB, reserved=17.53GB
step=23, allocated=17.53GB, reserved=17.53GB
step=24, allocated=17.53GB, reserved=17.53GB
step=25, allocated=17.53GB, reserved=17.53GB
step=26, allocated=17.53GB, reserved=17.53GB
step=27, allocated=17.53GB, reserved=17.53GB
step=28, allocated=17.53GB, reserved=17.53GB
step=29, allocated=17.53GB, reserved=17.53GB
step=30, allocated=17.53GB, reserved=17.53GB
step=31, allocated=17.53GB, reserved=17.53GB
step=32, allocated=17.53GB, reserved=17.53GB
step=33, allocated=17.53GB, reserved=17.53GB
step=34, allocated=17.53GB, reserved=17.53GB
step=35, allocated=17.53GB, reserved=17.53GB
step=36, allocated=17.53GB, reserved=17.53GB
step=37, allocated=17.53GB, reserved=17.53GB
step=38, allocated=17.53GB, reserved=17.53GB
step=39, allocated=17.53GB, reserved=17.53GB
step=40, allocated=17.53GB, reserved=17.53GB
step=41, allocated=17.53GB, reserved=17.53GB
step=42, allocated=17.53GB, reserved=17.53GB
step=43, allocated=17.53GB, reserved=17.53GB
step=44, allocated=17.53GB, reserved=17.53GB
step=45, allocated=17.53GB, reserved=17.53GB
step=46, allocated=17.53GB, reserved=17.53GB
step=47, allocated=17.53GB, reserved=17.53GB
step=48, allocated=17.53GB, reserved=17.53GB
step=49, allocated=17.53GB, reserved=17.53GB
step=50, allocated=17.53GB, reserved=17.53GB
step=51, allocated=17.53GB, reserved=17.53GB
step=52, allocated=17.53GB, reserved=17.53GB
step=53, allocated=17.53GB, reserved=17.53GB
step=54, allocated=17.53GB, reserved=17.53GB
step=55, allocated=17.53GB, reserved=17.53GB
step=56, allocated=17.53GB, reserved=17.53GB
step=57, allocated=17.53GB, reserved=17.53GB
step=58, allocated=17.53GB, reserved=17.53GB
step=59, allocated=17.53GB, reserved=17.53GB
step=60, allocated=17.53GB, reserved=17.53GB
step=61, allocated=17.53GB, reserved=17.53GB
step=62, allocated=17.53GB, reserved=17.53GB
step=63, allocated=17.53GB, reserved=17.53GB
step=64, allocated=17.53GB, reserved=17.53GB
